"Time (s)","Pressure (hPa)"
-5.711654583E-1,9.922711182E2
4.301275417E-1,9.922657013E2
1.899955042E0,9.922221375E2
2.901289042E0,9.922253418E2
3.902660042E0,9.922286224E2
4.904063042E0,9.922396088E2
5.905424042E0,9.922537231E2
6.261978042E0,9.922681427E2
7.330125042E0,9.922690582E2
8.398352042E0,9.922781372E2
9.466515042E0,9.922848511E2
1.053466004E1,9.922883606E2
1.160285504E1,9.922913361E2
1.267102904E1,9.922920227E2
1.373914604E1,9.922913361E2
1.480727204E1,9.922896576E2
1.587537204E1,9.922836304E2
1.694348404E1,9.922836304E2
1.801165404E1,9.923464966E2
1.907977104E1,9.924133301E2
2.014789004E1,9.924375916E2
2.121602304E1,9.924630737E2
2.228414504E1,9.924630737E2
2.335228304E1,9.924324036E2
2.442049304E1,9.922903442E2
2.548868704E1,9.922729492E2
2.655687304E1,9.922215271E2
2.762510404E1,9.921753693E2
2.869334504E1,9.921753693E2
2.976148504E1,9.921771240E2
3.082966804E1,9.921797943E2
3.189791004E1,9.921830750E2
3.296608704E1,9.921850586E2
3.403424204E1,9.921908569E2
3.510239404E1,9.924448395E2
3.617052204E1,9.932684326E2
3.723862804E1,9.940715027E2
3.830678504E1,9.949760437E2
3.937490104E1,9.959604645E2
4.044302404E1,9.967190552E2
4.151114104E1,9.969068146E2
4.257919404E1,9.969431305E2
4.364728904E1,9.969431305E2
4.471537304E1,9.959273529E2
4.578344504E1,9.949842834E2
4.685150404E1,9.940106201E2
4.791958304E1,9.930603027E2
4.898765804E1,9.922082520E2
5.005576304E1,9.922082520E2
5.112389704E1,9.922291565E2
5.219203804E1,9.922502899E2
5.326013804E1,9.922645569E2
5.432823204E1,9.922645569E2
5.539632204E1,9.922645569E2
5.646440304E1,9.924714661E2
5.753248904E1,9.931967926E2
5.860054704E1,9.939449310E2
5.966863104E1,9.947192383E2
6.073669904E1,9.954852295E2
6.180474904E1,9.961397552E2
6.287278304E1,9.962297821E2
6.394080504E1,9.962517548E2
6.500889604E1,9.962517548E2
6.607695104E1,9.962163544E2
6.714505604E1,9.953940582E2
6.821317604E1,9.945826721E2
6.928130004E1,9.937720490E2
7.034943804E1,9.929680634E2
7.141751404E1,9.921827698E2
7.248557404E1,9.921601868E2
7.355362304E1,9.921601868E2
7.462168204E1,9.921693420E2
7.568971704E1,9.921806335E2
7.675780204E1,9.921939087E2
7.782587504E1,9.922069550E2
7.889395904E1,9.922176361E2
7.996207204E1,9.922241211E2
8.103022604E1,9.922293854E2
8.209839604E1,9.922339630E2
8.316649304E1,9.922339630E2
8.423458404E1,9.922333527E2
8.530266304E1,9.922333527E2
8.637075504E1,9.922326660E2
8.743890604E1,9.922369385E2
8.850706904E1,9.922840881E2
8.957526404E1,9.927980804E2
9.064344204E1,9.935622406E2
9.171164104E1,9.943428802E2
9.277982204E1,9.951216888E2
9.384800504E1,9.958513641E2
9.491611904E1,9.961888885E2
9.598421804E1,9.961980438E2
9.705236504E1,9.962283325E2
9.812050004E1,9.963169861E2
9.918864604E1,9.964129639E2
1.002567260E2,9.965110016E2
1.013247680E2,9.966100311E2
1.023927870E2,9.966774750E2
1.034608520E2,9.966921997E2
1.045289260E2,9.967220306E2
1.055970290E2,9.967503357E2
1.066651680E2,9.967694855E2
1.077332980E2,9.967905426E2
1.088013990E2,9.968134308E2
1.098695150E2,9.968135834E2
1.109376180E2,9.968170929E2
1.120057510E2,9.968244934E2
1.130739110E2,9.968351746E2
1.141420450E2,9.968450165E2
1.152101430E2,9.968632507E2
1.162782960E2,9.968688965E2
1.173464320E2,9.968715668E2
1.184145540E2,9.968720245E2
1.194826880E2,9.968720245E2
1.205508220E2,9.968720245E2
1.216189830E2,9.968776703E2
1.226871150E2,9.968906403E2
1.237552460E2,9.969052887E2
1.248234080E2,9.969143677E2
1.258914950E2,9.969175720E2
1.269596460E2,9.969175720E2
1.280277340E2,9.969147491E2
1.290958490E2,9.969067383E2
1.301638980E2,9.968974304E2
1.312319630E2,9.968859100E2
1.323000280E2,9.968747711E2
1.333681070E2,9.968643188E2
1.344361770E2,9.968566895E2
1.355042480E2,9.968481445E2
1.365723950E2,9.968429565E2
1.376404930E2,9.968370819E2
1.387086000E2,9.968300629E2
1.397766540E2,9.968226624E2
1.408447250E2,9.968138885E2
1.419127780E2,9.968034363E2
1.429808750E2,9.967907715E2
1.440489970E2,9.967770386E2
1.451171420E2,9.967634583E2
1.461852970E2,9.967520142E2
1.472534400E2,9.967370605E2
1.483215840E2,9.967249298E2
1.493896820E2,9.967118073E2
1.504577490E2,9.966982269E2
1.515258480E2,9.966840363E2
1.525939490E2,9.966707611E2
1.536620610E2,9.966548157E2
1.547301180E2,9.966394806E2
