"Time (s)","Pressure (hPa)"
-5.608702083E-1,9.920500183E2
4.704107917E-1,9.920505524E2
1.501688792E0,9.920500183E2
2.532967792E0,9.920445251E2
3.564219792E0,9.920392609E2
3.758574792E0,9.920304871E2
4.823114792E0,9.920233917E2
5.887678792E0,9.920087433E2
6.952265792E0,9.919990540E2
8.016843792E0,9.919943237E2
9.081406792E0,9.919915771E2
1.014595479E1,9.919915771E2
1.121048479E1,9.919943237E2
1.227502079E1,9.919943237E2
1.333954979E1,9.919895935E2
1.440407779E1,9.919878387E2
1.546863579E1,9.919878387E2
1.653318079E1,9.919915009E2
1.759772479E1,9.919988251E2
1.866222979E1,9.920090485E2
1.972670979E1,9.920191193E2
2.079123179E1,9.920294952E2
2.185573179E1,9.920355988E2
2.292022379E1,9.920431519E2
2.398471979E1,9.920482635E2
2.504922379E1,9.920500946E2
2.611370679E1,9.920500946E2
2.717824779E1,9.920462036E2
2.824279179E1,9.920391846E2
2.930735579E1,9.920275879E2
3.037189779E1,9.920157623E2
3.143643979E1,9.920072174E2
3.250094179E1,9.919991302E2
3.356547179E1,9.919935608E2
3.463000579E1,9.919935608E2
3.569454179E1,9.919943237E2
3.675906479E1,9.920001221E2
3.782358679E1,9.920109558E2
3.888812579E1,9.920246124E2
3.995267779E1,9.920412445E2
4.101724979E1,9.920537567E2
4.208179679E1,9.920632172E2
4.314634379E1,9.920693970E2
4.421088779E1,9.920703125E2
4.527541879E1,9.920712280E2
4.633998279E1,9.920713806E2
4.740457579E1,9.920713806E2
4.846917979E1,9.920664978E2
4.953377379E1,9.920596313E2
5.059835079E1,9.920596313E2
5.166290379E1,9.921920013E2
5.272743979E1,9.922057343E2
5.379198679E1,9.922293854E2
5.485651079E1,9.922497559E2
5.592102479E1,9.922497559E2
5.698557779E1,9.921019745E2
5.805011679E1,9.920578003E2
5.911462079E1,9.920306396E2
6.017915179E1,9.919438171E2
6.124367579E1,9.919438171E2
6.230817379E1,9.919532013E2
6.337272079E1,9.919545746E2
6.443727879E1,9.919570923E2
6.550184379E1,9.919616699E2
6.656642179E1,9.919649506E2
6.763096779E1,9.920048523E2
6.869553779E1,9.926013947E2
6.976013979E1,9.934416962E2
7.082474879E1,9.942453003E2
7.188931879E1,9.952672577E2
7.295382779E1,9.961874390E2
7.401839879E1,9.966110992E2
7.508295279E1,9.967411041E2
7.614749379E1,9.967411041E2
7.721202879E1,9.962214661E2
7.827651679E1,9.952747345E2
7.934105579E1,9.943280792E2
8.040559579E1,9.933379364E2
8.147010579E1,9.924083710E2
8.253462779E1,9.920075989E2
8.359914479E1,9.919959259E2
8.466366879E1,9.920075989E2
8.572825579E1,9.920456696E2
8.679283579E1,9.920456696E2
8.785741279E1,9.920413208E2
8.892202479E1,9.920413208E2
8.998659779E1,9.925254822E2
9.105113879E1,9.932953644E2
9.211570279E1,9.940645599E2
9.318030179E1,9.948221588E2
9.424493479E1,9.955841827E2
9.530954479E1,9.959914398E2
9.637407879E1,9.960073853E2
9.743866979E1,9.960308838E2
9.850326779E1,9.960308838E2
9.956787679E1,9.956729126E2
1.006324778E2,9.948559570E2
1.016970858E2,9.940437317E2
1.027617098E2,9.932347107E2
1.038263598E2,9.924301147E2
1.048909918E2,9.919248962E2
1.059555898E2,9.919248962E2
1.070202138E2,9.919316101E2
1.080848358E2,9.919408417E2
1.091494358E2,9.919527435E2
1.102140438E2,9.919676971E2
1.112786318E2,9.919790649E2
1.123432098E2,9.919916534E2
1.134077678E2,9.920011902E2
1.144723418E2,9.920075989E2
1.155369588E2,9.920103455E2
1.166015558E2,9.920103455E2
1.176661468E2,9.920103455E2
1.187307628E2,9.920069122E2
1.197953478E2,9.920048523E2
1.208599118E2,9.920048523E2
1.219245208E2,9.921229553E2
1.229891458E2,9.928171539E2
1.240537138E2,9.935746765E2
1.251182848E2,9.943720245E2
1.261828378E2,9.951443481E2
1.272474358E2,9.958369446E2
1.283120508E2,9.959693146E2
1.293766888E2,9.959813690E2
1.304413138E2,9.960229492E2
1.315058998E2,9.961187744E2
1.325704628E2,9.962157440E2
1.336350628E2,9.963153076E2
1.346996668E2,9.964142609E2
1.357642768E2,9.964559174E2
1.368289128E2,9.964786530E2
1.378935048E2,9.965074158E2
1.389581238E2,9.965343475E2
1.400227228E2,9.965542603E2
1.410872598E2,9.965777588E2
1.421518138E2,9.965904236E2
1.432163698E2,9.965943146E2
1.442809538E2,9.965978241E2
1.453455188E2,9.966045380E2
1.464100598E2,9.966147614E2
1.474746258E2,9.966271210E2
1.485391918E2,9.966425323E2
1.496037848E2,9.966472626E2
1.506683388E2,9.966505432E2
1.517328968E2,9.966505432E2
1.527974238E2,9.966500092E2
1.538619458E2,9.966500092E2
1.549264648E2,9.966587067E2
1.559909788E2,9.966726685E2
1.570554758E2,9.966854858E2
1.581199928E2,9.966931915E2
1.591845208E2,9.966931915E2
1.602490258E2,9.966911316E2
1.613135888E2,9.966877747E2
1.623781248E2,9.966812134E2
1.634426178E2,9.966719055E2
1.645070838E2,9.966632080E2
1.655716018E2,9.966545105E2
1.666361348E2,9.966448975E2
1.677006828E2,9.966361237E2
1.687652228E2,9.966293335E2
1.698297048E2,9.966221619E2
1.708941688E2,9.966151428E2
1.719586478E2,9.966063690E2
1.730231168E2,9.965976715E2
1.740875548E2,9.965884399E2
1.751519988E2,9.965789795E2
1.762164498E2,9.965673065E2
1.772809328E2,9.965565491E2
1.783453988E2,9.965435028E2
1.794098648E2,9.965321350E2
1.804743428E2,9.965186310E2
1.815388508E2,9.965048981E2
1.826033628E2,9.964907074E2
1.836678798E2,9.964786530E2
1.847324148E2,9.964633942E2
1.857969238E2,9.964487457E2
1.868614308E2,9.964328003E2
1.879259508E2,9.964176941E2
1.889904448E2,9.964022064E2
1.900549778E2,9.963869476E2
1.911194908E2,9.963694000E2
1.921840338E2,9.963541412E2
1.932485958E2,9.963380432E2
1.943131088E2,9.963208008E2
1.953776198E2,9.963036346E2
1.964421178E2,9.962863159E2
1.975066378E2,9.962687683E2
1.985711448E2,9.962503815E2
1.996356598E2,9.962310791E2
2.007002058E2,9.962129211E2
2.017647508E2,9.961955261E2
2.028292468E2,9.961766815E2
2.038937558E2,9.961573029E2
2.049582488E2,9.961408234E2
2.060227658E2,9.961201477E2
2.070872538E2,9.961009979E2
2.081517778E2,9.960836792E2
2.092162838E2,9.960652161E2
2.102808088E2,9.960459137E2
2.113453438E2,9.960288239E2
2.124098738E2,9.960117340E2
2.134744118E2,9.959928894E2
2.145389358E2,9.959751129E2
2.156034218E2,9.959558105E2
2.166678898E2,9.959375000E2
2.177323998E2,9.959186554E2
2.187968758E2,9.958995056E2
2.198613688E2,9.958796692E2
2.209258638E2,9.958615875E2
2.219903748E2,9.958412933E2
2.230548768E2,9.958233643E2
2.241193878E2,9.958042145E2
2.251838508E2,9.957854462E2
2.262483498E2,9.957666779E2
2.273128218E2,9.957485962E2
2.283773498E2,9.957283020E2
2.294418688E2,9.957102203E2
2.305064078E2,9.956897736E2
2.315709428E2,9.956701660E2
2.326354768E2,9.956516266E2
2.337000558E2,9.956327057E2
2.347646508E2,9.956143951E2
2.358291928E2,9.955961609E2
2.368937398E2,9.955786133E2
2.379582918E2,9.955606079E2
2.390228648E2,9.955426025E2
2.400874488E2,9.955238342E2
2.411519868E2,9.955046082E2
2.422165428E2,9.954842377E2
2.432810768E2,9.954633331E2
2.443456198E2,9.954433441E2
2.454101378E2,9.954239655E2
2.464746428E2,9.954042816E2
2.475391728E2,9.953846741E2
2.486036978E2,9.953657532E2
2.496681918E2,9.953470612E2
2.507326918E2,9.953274536E2
2.517972288E2,9.953086853E2
2.528617278E2,9.952887726E2
2.539262758E2,9.952701569E2
2.549908458E2,9.952500916E2
2.560554078E2,9.952307892E2
2.571199858E2,9.952114868E2
2.581845588E2,9.951916504E2
2.592490688E2,9.951717377E2
2.603136118E2,9.951501465E2
2.613781288E2,9.951308441E2
2.624426178E2,9.951123810E2
2.635071568E2,9.950944519E2
2.645717108E2,9.950753784E2
2.656362828E2,9.950588989E2
2.667008298E2,9.950395203E2
2.677653598E2,9.950186157E2
2.688298958E2,9.949961090E2
2.698944008E2,9.949764252E2
2.709589228E2,9.949548340E2
2.720234598E2,9.949340820E2
2.730879898E2,9.949149323E2
2.741525498E2,9.948958588E2
2.752170868E2,9.948752594E2
2.762816368E2,9.948547363E2
2.773461898E2,9.948344421E2
2.784107068E2,9.948139191E2
2.794752368E2,9.947934723E2
2.805397838E2,9.947724152E2
2.816043048E2,9.947535706E2
2.826688348E2,9.947344971E2
2.837333338E2,9.947151184E2
2.847978508E2,9.946949005E2
2.858624038E2,9.946752167E2
2.869269448E2,9.946553802E2
2.879914788E2,9.946351624E2
2.890559658E2,9.946154022E2
2.901204658E2,9.945960999E2
2.911849818E2,9.945785522E2
2.922495478E2,9.945591736E2
2.933141048E2,9.945404816E2
2.943786408E2,9.945206451E2
2.954431378E2,9.945029449E2
2.965076308E2,9.944846344E2
2.975721568E2,9.944660187E2
2.986366938E2,9.944483185E2
2.997012058E2,9.944300079E2
3.007656888E2,9.944123840E2
3.018301788E2,9.943943787E2
3.028946818E2,9.943772125E2
3.039591628E2,9.943588257E2
3.050236618E2,9.943409729E2
3.060881488E2,9.943202972E2
3.071526298E2,9.943016052E2
3.082171328E2,9.942835236E2
3.092816778E2,9.942654419E2
3.103461948E2,9.942478943E2
3.114106958E2,9.942315674E2
3.124752278E2,9.942148590E2
3.135397438E2,9.941959381E2
3.146042558E2,9.941773987E2
3.156687938E2,9.941565704E2
3.167333168E2,9.941366577E2
3.177978438E2,9.941149139E2
3.188623638E2,9.940937042E2
3.199268828E2,9.940733337E2
3.209913918E2,9.940542603E2
3.220558718E2,9.940350342E2
3.231204178E2,9.940175629E2
