"Time (s)","Pressure (hPa)"
1.092958440E-1,9.925194092E2
1.493150110E-1,9.925719604E2
1.893106360E-1,9.925902100E2
2.293131880E-1,9.925725708E2
2.693107920E-1,9.926148682E2
3.092996980E-1,9.926614380E2
3.493114170E-1,9.926876831E2
3.893093340E-1,9.926920776E2
4.293129280E-1,9.927108154E2
4.693150630E-1,9.926749268E2
5.093134480E-1,9.925797729E2
5.493148550E-1,9.924760742E2
5.893080320E-1,9.924049072E2
6.293133440E-1,9.923608398E2
6.693072500E-1,9.923582153E2
7.093144900E-1,9.923975830E2
7.493091250E-1,9.924477539E2
7.892995420E-1,9.924969482E2
8.293090210E-1,9.925377808E2
8.693098550E-1,9.925590820E2
9.093125630E-1,9.925708008E2
9.493081880E-1,9.925815430E2
9.892960000E-1,9.925903320E2
1.029311782E0,9.925981445E2
1.069306209E0,9.926046143E2
1.109313865E0,9.926116333E2
1.149307823E0,9.926207275E2
1.189313813E0,9.926229248E2
1.229308084E0,9.926134033E2
1.269304386E0,9.926007080E2
1.309314334E0,9.925828247E2
1.349311417E0,9.925614014E2
1.389309021E0,9.925582275E2
1.429312771E0,9.925846558E2
1.469305323E0,9.926368408E2
1.509314386E0,9.927117920E2
1.549312198E0,9.927991333E2
1.589313136E0,9.928776245E2
1.629312094E0,9.929248047E2
1.669306938E0,9.929469604E2
1.709313709E0,9.929508057E2
1.749313500E0,9.929350586E2
1.789319282E0,9.929077148E2
1.829318396E0,9.928766479E2
1.869316000E0,9.928411865E2
1.909315688E0,9.928014526E2
1.949311678E0,9.927591553E2
1.989319334E0,9.927198486E2
2.029314698E0,9.926885986E2
2.069318292E0,9.926524658E2
2.109313292E0,9.926159058E2
2.149318032E0,9.925940552E2
2.189319855E0,9.925846558E2
2.229306990E0,9.925864258E2
2.269311730E0,9.925972900E2
2.309315636E0,9.926048584E2
2.349302042E0,9.926108398E2
2.389314542E0,9.926239014E2
2.429314021E0,9.926420898E2
2.469316625E0,9.926672974E2
2.509313917E0,9.927000732E2
2.549310480E0,9.927293701E2
2.589312928E0,9.927399292E2
2.629308553E0,9.927296143E2
2.669310167E0,9.927108154E2
2.709309855E0,9.926936646E2
2.749312928E0,9.926738281E2
2.789316990E0,9.926483154E2
2.829305428E0,9.926313477E2
2.869313344E0,9.926267700E2
2.909310115E0,9.926238403E2
2.949313709E0,9.926184692E2
2.989311834E0,9.926178589E2
3.029300011E0,9.926231689E2
3.069308761E0,9.926317139E2
3.109308032E0,9.926566162E2
3.149307928E0,9.926951294E2
3.189308917E0,9.927315674E2
3.229306782E0,9.927491455E2
3.269308709E0,9.927325439E2
3.309308292E0,9.926752930E2
3.349312511E0,9.926033325E2
3.389309073E0,9.925105591E2
3.429314803E0,9.924321289E2
3.469311834E0,9.923468018E2
3.509314282E0,9.922960815E2
3.549316678E0,9.922858276E2
3.589311157E0,9.923179932E2
3.629313917E0,9.923509521E2
3.669312094E0,9.924243164E2
3.709301782E0,9.924805908E2
3.749316053E0,9.925012817E2
3.789307771E0,9.925161133E2
3.829308761E0,9.925374146E2
3.869314750E0,9.925430908E2
3.909316469E0,9.925469971E2
3.949314542E0,9.925529175E2
3.989309594E0,9.925499268E2
4.029312719E0,9.925426025E2
4.069318188E0,9.925430908E2
4.109311834E0,9.925504150E2
4.149314698E0,9.925578003E2
4.189308292E0,9.925696411E2
4.229313709E0,9.925795898E2
4.269311417E0,9.925875854E2
4.309313448E0,9.925971680E2
4.349313396E0,9.926047974E2
4.389303761E0,9.926090698E2
4.429317250E0,9.926112061E2
4.469310375E0,9.926127930E2
4.509311105E0,9.926155396E2
4.549310532E0,9.926184692E2
4.589299021E0,9.926188354E2
4.629311938E0,9.926217651E2
4.669306730E0,9.926229248E2
4.709315792E0,9.926206055E2
4.749310271E0,9.926207275E2
4.789315480E0,9.926207275E2
4.829317928E0,9.926198120E2
4.869305428E0,9.926212769E2
4.909313396E0,9.926231689E2
4.949308292E0,9.926239014E2
4.989310740E0,9.926264648E2
5.029311261E0,9.926285400E2
5.069300584E0,9.926279297E2
5.109314750E0,9.926266479E2
5.149307771E0,9.926263428E2
5.189311365E0,9.926262817E2
5.229311782E0,9.926257935E2
5.269302355E0,9.926267700E2
5.309313448E0,9.926256714E2
5.349313240E0,9.926227417E2
5.389313188E0,9.926212769E2
5.429314542E0,9.926207275E2
5.469315896E0,9.926184692E2
5.509313292E0,9.926173096E2
5.549311157E0,9.926194458E2
5.589317511E0,9.926217041E2
5.629311417E0,9.926227417E2
5.669316313E0,9.926248169E2
5.709314438E0,9.926278076E2
5.749299698E0,9.926289062E2
5.789311261E0,9.926278076E2
