"Time (s)","Pressure (hPa)"
-5.746191249E-1,9.920881653E2
4.302728751E-1,9.920943451E2
1.435162875E0,9.921005249E2
2.440031875E0,9.921113586E2
3.444890875E0,9.921162415E2
3.797060875E0,9.921414185E2
4.868886875E0,9.921445465E2
5.940712875E0,9.921585083E2
7.012552875E0,9.921704865E2
8.084369875E0,9.921804810E2
9.156221875E0,9.921804810E2
1.022808088E1,9.921791840E2
1.129992587E1,9.921745300E2
1.237177888E1,9.921670532E2
1.344364287E1,9.921575928E2
1.451550688E1,9.921460724E2
1.558736287E1,9.921363831E2
1.665921887E1,9.921308899E2
1.773107087E1,9.921256256E2
1.880288188E1,9.921256256E2
1.987474188E1,9.921280670E2
2.094659688E1,9.921353912E2
2.201849687E1,9.921450806E2
2.309037288E1,9.921605682E2
2.416226088E1,9.921736908E2
2.523407988E1,9.921858215E2
2.630594488E1,9.921929932E2
2.737777288E1,9.921993256E2
2.844960587E1,9.922022247E2
2.952141388E1,9.922055817E2
3.059327688E1,9.922055817E2
3.166518588E1,9.922049713E2
3.273707188E1,9.921986389E2
3.380892788E1,9.921986389E2
3.488081087E1,9.922301483E2
3.595263287E1,9.923271179E2
3.702446888E1,9.923347473E2
3.809633488E1,9.923668671E2
3.916820387E1,9.923715210E2
4.024010788E1,9.923715210E2
4.131200787E1,9.922151184E2
4.238385388E1,9.921951294E2
4.345569988E1,9.921470642E2
4.452760587E1,9.920854950E2
4.559951288E1,9.920854950E2
4.667135187E1,9.920896149E2
4.774321888E1,9.920940399E2
4.881509088E1,9.920955658E2
4.988696288E1,9.920990753E2
5.095887087E1,9.921035004E2
5.203079387E1,9.923474884E2
5.310270887E1,9.931657410E2
5.417465687E1,9.939687347E2
5.524658288E1,9.948699188E2
5.631846087E1,9.958537292E2
5.739033188E1,9.966183472E2
5.846215788E1,9.968154144E2
5.953400487E1,9.968445587E2
6.060585187E1,9.968445587E2
6.167769088E1,9.958281708E2
6.274951087E1,9.948884583E2
6.382131288E1,9.939140320E2
6.489314688E1,9.929629517E2
6.596497188E1,9.921212769E2
6.703682488E1,9.921212769E2
6.810862388E1,9.921366119E2
6.918045088E1,9.921598816E2
7.025227788E1,9.921704865E2
7.132409988E1,9.921704865E2
7.239594287E1,9.921704865E2
7.346780387E1,9.924141693E2
7.453962387E1,9.931493378E2
7.561144887E1,9.939019775E2
7.668323188E1,9.946691132E2
7.775502088E1,9.954363251E2
7.882680387E1,9.960594177E2
7.989862588E1,9.961379242E2
8.097045388E1,9.961598206E2
8.204225687E1,9.961598206E2
8.311406288E1,9.960524750E2
8.418583988E1,9.952339172E2
8.525769887E1,9.944218445E2
8.632950087E1,9.936127472E2
8.740132487E1,9.928083801E2
8.847317588E1,9.920619202E2
8.954503687E1,9.920619202E2
9.061685488E1,9.920697021E2
9.168862387E1,9.920774841E2
9.276037188E1,9.920907593E2
9.383216588E1,9.921048737E2
9.490396088E1,9.921160126E2
9.597575187E1,9.921267700E2
9.704755488E1,9.921362305E2
9.811937387E1,9.921415710E2
9.919119687E1,9.921449280E2
1.002630529E2,9.921450043E2
1.013349339E2,9.921450806E2
1.024067469E2,9.921450806E2
1.034785929E2,9.921450806E2
1.045504299E2,9.921451569E2
1.056222409E2,9.922083282E2
1.066940429E2,9.928240967E2
1.077658489E2,9.935892487E2
1.088376369E2,9.943783569E2
1.099094529E2,9.951535797E2
1.109812199E2,9.958692932E2
1.120530299E2,9.961037445E2
1.131248799E2,9.961124420E2
1.141967359E2,9.961506653E2
1.152686079E2,9.962422943E2
1.163404429E2,9.963374329E2
1.174123009E2,9.964388275E2
1.184841759E2,9.965390778E2
1.195560189E2,9.965892792E2
1.206278409E2,9.966100311E2
1.216996899E2,9.966389465E2
1.227715439E2,9.966635132E2
1.238433609E2,9.966826630E2
1.249152479E2,9.967050171E2
1.259871059E2,9.967211914E2
1.270589859E2,9.967228699E2
1.281308149E2,9.967276001E2
